"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"2","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","37","The class 'AbstractRulesImpl' has a NCSS line count of 18 (Highest = 6).","Design","NcssCount"
"3","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","37","The class 'AbstractRulesImpl' has a total cyclomatic complexity of 8 (highest 3).","Design","CyclomaticComplexity"
"4","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","37","This class has 5 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","54","The method 'getDigester()' has a NCSS line count of 2.","Design","NcssCount"
"6","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","54","The method 'getDigester()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"7","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","54","The method 'getDigester()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"8","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","62","The method 'setDigester(Digester)' has a NCSS line count of 2.","Design","NcssCount"
"9","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","62","The method 'setDigester(Digester)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"10","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","62","The method 'setDigester(Digester)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"11","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","62","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"12","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","70","The method 'getNamespaceURI()' has a NCSS line count of 2.","Design","NcssCount"
"13","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","70","The method 'getNamespaceURI()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"14","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","70","The method 'getNamespaceURI()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"15","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","78","The method 'setNamespaceURI(String)' has a NCSS line count of 2.","Design","NcssCount"
"16","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","78","The method 'setNamespaceURI(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"17","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","78","The method 'setNamespaceURI(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"18","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","78","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"19","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","88","The method 'add(String, Rule)' has a NCSS line count of 6.","Design","NcssCount"
"20","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","88","The method 'add(String, Rule)' has a cognitive complexity of 2, current threshold is 1","Design","CognitiveComplexity"
"21","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","88","The method 'add(String, Rule)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"22","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","88","The method 'add(String, Rule)' has an NPath complexity of 4, current threshold is 1","Design","NPathComplexity"
"23","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","88","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"24","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","111","The method 'registerRule(String, Rule)' has a NCSS line count of 1.","Design","NcssCount"
"25","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","111","The method 'registerRule(String, Rule)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"26","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","111","The method 'registerRule(String, Rule)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"27","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","111","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"1","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","48","A value of 3 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","48","The class 'BeanPropertySetterRule' has a NCSS line count of 42 (Highest = 16).","Design","NcssCount"
"3","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","48","The class 'BeanPropertySetterRule' has a total cyclomatic complexity of 19 (highest 8).","Design","CyclomaticComplexity"
"4","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","48","This class has 9 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","61","The constructor 'BeanPropertySetterRule(String)' has a NCSS line count of 2.","Design","NcssCount"
"6","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","61","The constructor 'BeanPropertySetterRule(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"7","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","61","The constructor 'BeanPropertySetterRule(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"8","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","61","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"9","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","72","The constructor 'BeanPropertySetterRule()' has a NCSS line count of 2.","Design","NcssCount"
"10","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","72","The constructor 'BeanPropertySetterRule()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"11","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","72","The constructor 'BeanPropertySetterRule()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"12","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","101","The method 'getPropertyName()' has a NCSS line count of 2.","Design","NcssCount"
"13","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","101","The method 'getPropertyName()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"14","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","101","The method 'getPropertyName()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"15","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","112","The method 'setPropertyNameFromAttribute(String)' has a NCSS line count of 2.","Design","NcssCount"
"16","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","112","The method 'setPropertyNameFromAttribute(String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"17","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","112","The method 'setPropertyNameFromAttribute(String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"18","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","112","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"19","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/BeanPropertySetterRule.java","3","122","The method 'getBodyText()' has a NCSS line count of 2.","Design","NcssCount"
